x,y,z,color
1.9919758,4.7500963,8.121132,1
2.7581203,2.6048915,9.193734,1
3.064578,3.9839516,8.734048,1
1.0726024,5.056554,8.42759,1
-2.1452048,7.6614456,4.7500963,1
-2.1452048,6.588843,6.129156,1
0.61291564,5.209783,7.967903,1
3.6774938,5.363012,7.0485296,1
2.7581203,5.66947,6.895301,1
-0.9193735,7.3549876,5.66947,1
0,5.66947,7.6614456,1
0.61291564,5.8226986,7.0485296,1
1.3790601,5.056554,7.5082164,1
1.2258313,7.0485296,5.8226986,1
1.2258313,7.6614456,4.903325,1
4.1371803,5.056554,6.435614,1
2.6048915,4.2904096,7.8146744,1
1.8387469,5.66947,6.895301,1
0.91937345,7.967903,3.8307228,1
0.45968673,7.6614456,4.4436383,1
-2.9113493,-6.129156,3.371036,0
-2.9113493,-3.9839516,3.371036,0
-6.588843,-4.7500963,4.596867,0
-3.6774938,-4.903325,3.8307228,0
-6.2823853,-4.2904096,3.9839516,0
-3.6774938,-5.363012,5.363012,0
-11.645397,-0.4596867,6.742072,0
-9.040505,2.1452048,9.193734,0
-12.717999,-2.1452048,10.266336,0
-12.717999,-5.056554,12.258312,0
-14.250289,-5.209783,10.572795,0
-13.943831,-7.0485296,10.879252,0
-4.1371803,-5.363012,3.371036,0
-14.097059,-2.6048915,11.798626,0
-13.330915,-7.0485296,12.411542,0
-12.258312,-7.201759,11.951855,0
-17.927782,-7.201759,11.951855,0
-9.500193,0.61291564,10.726024,0
-12.411542,-7.201759,12.871228,0
-15.169662,-1.8387469,11.645397,0
-19.460072,15.47612,12.411542,-1
-19.460072,-19.460072,19.460072,-1
-19.460072,-19.460072,19.460072,-1
-19.460072,-3.064578,3.217807,-1
-19.460072,-17.774553,2.2984335,-1
-19.460072,-16.701952,19.460072,-1
-19.460072,-19.460072,12.717999,-1
-17.774553,-13.943831,2.1452048,-1
-19.460072,-19.460072,12.411542,-1
-12.717999,12.717999,0.7661445,-1
-1.685518,-9.959879,4.1371803,-1
-19.460072,10.113108,-0.1532289,-1
-19.460072,2.9113493,9.500193,-1
-9.346964,-2.9113493,1.685518,-1
-19.460072,-14.403518,14.863204,-1
-19.460072,-8.887277,7.5082164,-1
-19.460072,11.492168,6.742072,-1
-19.460072,-0.6129156,9.653421,-1
-19.460072,9.653421,-2.2984335,-1
-19.460072,-1.8387469,8.42759,-1
